07-16 14:09:17.665 24615 24695 D LectioHttpEngine: Lectio POST /lectio/94/beskeder2.aspx | session=66QR…BA autologin=PPQJ…nS extras=isloggedin3,lectiogsc,pbnotify
07-16 14:09:31.979 24615 24695 D LectioHttpEngine: Lectio GET /lectio/94/grades/grade_report.aspx | session=66QR…BA autologin=PPQJ…nS extras=isloggedin3,lectiogsc,pbnotify
07-16 14:09:33.762 24615 24695 D LectioHttpEngine: Lectio GET /lectio/94/grades/grade_report.aspx | session=66QR…BA autologin=PPQJ…nS extras=isloggedin3,lectiogsc,pbnotify
07-16 14:09:35.247 24615 24695 D LectioHttpEngine: Lectio GET /lectio/94/digitaltStudiekort.aspx | session=66QR…BA autologin=PPQJ…nS extras=isloggedin3,lectiogsc,pbnotify
07-16 14:10:03.896 24615 24695 D LectioHttpEngine: Lectio GET /lectio/94/privat_aftale.aspx | session=66QR…BA autologin=PPQJ…nS extras=isloggedin3,lectiogsc,pbnotify
07-16 14:10:10.904 24615 24745 D LectioHttpEngine: Lectio GET /lectio/94/proevehold.aspx | session=66QR…BA autologin=PPQJ…nS extras=isloggedin3,lectiogsc,pbnotify
07-16 14:10:12.655 24615 24695 D LectioHttpEngine: Lectio GET /lectio/94/aktivitet/aktivitetforside2.aspx | session=66QR…BA autologin=PPQJ…nS extras=isloggedin3,lectiogsc,pbnotify
07-16 14:10:15.046 24615 24695 D LectioHttpEngine: Lectio GET /lectio/94/SkemaNy.aspx | session=66QR…BA autologin=PPQJ…nS extras=isloggedin3,lectiogsc,pbnotify
07-16 14:10:15.612 24615 24695 W SupabaseScheduleService: Supabase schedule sync failed for week 2026-W20 (often RLS on updates audit trigger)
07-16 14:10:15.612 24615 24695 W SupabaseScheduleService: io.github.jan.supabase.postgrest.exception.PostgrestRestException:         ON CONFLICT DO UPDATE command cannot affect row a second time
07-16 14:10:16.332 24615 24695 D LectioHttpEngine: Lectio GET /lectio/94/aktivitet/aktivitetforside2.aspx | session=66QR…BA autologin=PPQJ…nS extras=isloggedin3,lectiogsc,pbnotify
07-16 14:10:19.836 24615 24745 D LectioHttpEngine: Lectio GET /lectio/94/aktivitet/aktivitetforside2.aspx | session=66QR…BA autologin=PPQJ…nS extras=isloggedin3,lectiogsc,pbnotify
